,ID,Host Type,Repository Name with Owner,Repository ID,Manifest Platform,Manifest Filepath,Git branch,Manifest kind,Optional,Dependency Project Name,Dependency Requirements,Dependency Kind,Dependency Project ID
145,213133394,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,ajv,5.3.0,runtime,808490.0
146,213133356,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,acorn-jsx,3.0.1,runtime,260355.0
147,213133325,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,acorn,5.2.1,runtime,260346.0
148,213133296,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,@alrra/travis-scripts,3.0.1,runtime,1377414.0
149,50229981,GitHub,10digit/utils,10,Bower,bower.json,,manifest,,angular-sanitize,*,runtime,3960.0
150,50229972,GitHub,10digit/utils,10,Bower,bower.json,,manifest,,angular-ui-bootstrap,*,runtime,4351.0
151,50229966,GitHub,10digit/utils,10,Bower,bower.json,,manifest,,angular,*,runtime,2169.0
152,95256716,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,run-sequence,^1.2.2,development,309598.0
153,95256713,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-prettify,^0.5.0,development,288220.0
154,95256712,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-jade,^1.1.0,development,288121.0
155,95256708,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,babel-preset-es2016,^6.16.0,development,1238135.0
156,95256702,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,cssnano,^3.8.0,development,759710.0
157,95256715,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-cache,^0.4.5,development,154656.0
158,95256714,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-imagemin,^3.0.3,development,155127.0
159,95256711,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-uglify,^2.0.0,development,155866.0
160,95256710,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-eslint,^3.0.1,development,154934.0
161,95256709,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,babel-preset-es2017,^6.16.0,development,1218009.0
162,95256706,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,babel-loader,^6.2.7,development,570156.0
163,95256705,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,babel-core,^6.18.0,development,570149.0
164,95256701,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,autoprefixer,^6.5.1,development,129882.0
165,95256699,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-sass,^2.3.2,development,155628.0
166,95256698,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,del,^2.2.2,development,141102.0
167,95256697,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp,^3.9.1,development,287937.0
168,95256707,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,babel-preset-es2015,^6.18.0,development,1063145.0
169,95256704,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,vinyl-named,^1.1.0,development,328803.0
170,95256703,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,webpack-stream,^3.2.0,development,819316.0
171,95256700,GitHub,lunix01/apage,12,NPM,package.json,,manifest,,gulp-postcss,^6.2.0,development,155488.0
172,110393674,GitHub,bsspirit/ape-algorithm,13,npm,package.json,,manifest,,linklist,0.0.3,runtime,166602.0
173,384950,GitHub,mfpierre/open-badges-showcase,14,npm,package.json,,manifest,,grunt-text-replace,~0.3.11,runtime,287496.0
174,384921,GitHub,mfpierre/open-badges-showcase,14,npm,package.json,,manifest,,grunt,~0.4.1,runtime,284257.0
175,384927,GitHub,mfpierre/open-badges-showcase,14,npm,package.json,,manifest,,grunt-cli,~0.1.9,runtime,284733.0
176,384935,GitHub,mfpierre/open-badges-showcase,14,npm,package.json,,manifest,,grunt-contrib-connect,~0.8.0,runtime,284922.0
177,384942,GitHub,mfpierre/open-badges-showcase,14,npm,package.json,,manifest,,grunt-gh-pages,~0.9.1,runtime,285574.0
178,47982598,GitHub,mfpierre/open-badges-showcase,14,Bower,bower.json,,manifest,,web-component-tester,*,development,26046.0
